timestamp,num_rows,mae,rmse
2026-06-14 10:05:38,56732,1.19,2.62
2026-06-14 11:06:02,57834,1.18,2.56
2026-06-14 12:06:12,58942,1.19,2.58
2026-06-14 13:06:22,60129,1.16,2.51
2026-06-14 16:36:26,61407,1.18,2.57
2026-06-14 17:36:39,62624,1.2,2.6
2026-06-14 18:36:59,63657,1.22,2.71
2026-06-14 19:37:22,64661,1.24,2.74
2026-06-14 20:37:46,65589,1.25,2.88
2026-06-14 21:37:57,66417,1.23,2.75
2026-06-14 22:38:08,67158,1.2,2.62
2026-06-14 23:38:35,67898,1.2,2.6
2026-06-15 01:50:45,68613,1.21,2.7
2026-06-15 02:50:52,68772,1.2,2.65
2026-06-15 03:51:00,68922,1.21,2.71
2026-06-15 04:51:07,69092,1.22,2.75
2026-06-15 05:51:16,69922,1.2,2.62
2026-06-15 06:51:25,71445,1.21,2.67
2026-06-15 07:51:35,73309,1.22,2.71
2026-06-15 08:51:44,75118,1.23,2.74
2026-06-15 09:51:55,76650,1.24,2.78
2026-06-15 17:06:01,78261,1.22,2.65
2026-06-15 18:06:14,80032,1.23,2.7
2026-06-15 19:06:25,81568,1.25,2.78
2026-06-15 20:06:49,82814,1.25,2.78
2026-06-15 21:06:58,83889,1.26,2.76
2026-06-15 22:07:17,84865,1.26,2.82
2026-06-15 23:07:46,85752,1.27,2.83
2026-06-16 00:46:01,86459,1.27,2.78
2026-06-16 00:47:40,86622,1.23,2.77
2026-06-16 01:39:00,87061,1.22,2.77
2026-06-16 02:39:16,87222,1.24,2.77
2026-06-16 03:39:45,87363,1.26,2.76
2026-06-16 04:24:40,87476,1.15,2.78
2026-06-16 05:14:58,87872,1.22,2.76
2026-06-16 06:15:08,89019,1.27,2.74
2026-06-16 07:15:19,90741,1.31,2.73
2026-06-16 08:15:31,92673,1.27,2.71
2026-06-16 09:15:43,94386,1.28,2.71
2026-06-16 10:15:56,95841,1.22,2.73
2026-06-16 11:16:07,97227,1.3,2.75
2026-06-16 12:30:13,98687,1.34,2.73
2026-06-16 13:30:25,100138,1.31,2.76
2026-06-16 14:30:37,101684,1.31,2.76
2026-06-16 15:31:01,103398,1.26,2.88
2026-06-16 16:31:14,105400,1.36,2.96
2026-06-16 18:44:58,106432,1.36,3.0
2026-06-16 20:06:38,107697,1.38,3.06
2026-06-16 21:06:58,108790,1.39,3.09
2026-06-16 22:07:18,109810,1.38,3.11
2026-06-16 23:07:33,110687,1.37,3.09
2026-06-17 00:07:35,111314,1.06,2.35
2026-06-17 00:16:30,111436,1.05,2.34
2026-06-17 01:21:36,111745,1.05,2.34
2026-06-17 02:21:47,111795,1.05,2.34
2026-06-17 03:22:19,111946,1.05,2.33
2026-06-17 04:22:30,112107,1.05,2.34
2026-06-17 05:47:42,113050,1.05,2.35
2026-06-17 06:47:52,114627,1.06,2.34
2026-06-17 07:48:02,116501,1.06,2.34
2026-06-17 08:48:13,118331,1.07,2.36
2026-06-17 09:48:23,119910,1.07,2.37
2026-06-17 15:54:41,121632,1.08,2.38
2026-06-17 16:54:53,123661,1.11,2.44
2026-06-17 17:55:05,125618,1.11,2.42
2026-06-17 18:55:16,127272,1.11,2.42
2026-06-17 19:55:34,128631,1.1,2.38
2026-06-17 20:55:58,129768,1.09,2.36
2026-06-17 21:56:14,130795,1.08,2.33
2026-06-18 00:39:19,142999,0.94,2.03
2026-06-18 03:44:44,143365,0.94,2.02
2026-06-18 04:30:39,143462,0.94,2.03
2026-06-18 05:20:58,143900,0.94,2.03
2026-06-18 06:21:08,145191,0.94,2.02
2026-06-18 07:21:20,146983,0.94,2.02
2026-06-18 08:21:32,148938,0.94,2.01
2026-06-18 09:21:57,150520,0.93,2.01
2026-06-18 10:22:08,152025,0.93,1.99
2026-06-18 11:22:19,153405,0.92,1.98
2026-06-18 12:22:30,154864,0.92,1.97
2026-06-18 13:22:41,156360,0.92,1.98
2026-06-18 14:22:53,157932,0.92,1.98
2026-06-18 15:23:08,159604,0.93,2.02
2026-06-18 16:44:26,161653,0.94,2.03
