timestamp,route_id,travel_seconds,travel_minutes
2026-06-10 19:33:40,172,54,0.9
2026-06-10 19:33:40,56,53,0.88
2026-06-10 19:33:40,187,107,1.78
2026-06-10 19:33:40,206,215,3.58
2026-06-10 19:33:40,32,53,0.88
2026-06-10 19:33:40,411,228,3.8
2026-06-10 19:33:40,460,121,2.02
2026-06-10 19:33:40,198,31,0.52
2026-06-10 19:33:40,106,24,0.4
2026-06-10 19:33:40,100,34,0.57
2026-06-10 19:33:40,11,66,1.1
2026-06-10 19:33:40,68,136,2.27
2026-06-10 19:33:40,20,90,1.5
2026-06-10 19:33:40,43,41,0.68
2026-06-10 19:33:40,100,105,1.75
2026-06-10 19:33:40,164,111,1.85
2026-06-10 19:33:40,114,32,0.53
2026-06-10 19:33:40,72,36,0.6
2026-06-10 19:33:40,439,84,1.4
2026-06-10 19:33:40,164,62,1.03
2026-06-10 19:33:40,177,123,2.05
2026-06-10 19:33:40,496,40,0.67
2026-06-10 19:33:40,121,38,0.63
2026-06-10 19:33:40,208,29,0.48
2026-06-10 19:33:40,139,91,1.52
2026-06-10 19:33:40,141,31,0.52
2026-06-10 19:33:40,36,93,1.55
2026-06-10 19:33:40,110,87,1.45
2026-06-10 19:33:40,55,63,1.05
2026-06-10 19:33:40,51,28,0.47
2026-06-10 19:33:40,55,56,0.93
2026-06-10 19:33:40,41,53,0.88
2026-06-10 19:33:40,129,63,1.05
2026-06-10 19:33:40,468,65,1.08
2026-06-10 19:33:40,95,41,0.68
2026-06-10 19:33:40,144,56,0.93
2026-06-10 19:33:40,198,299,4.98
2026-06-10 19:33:40,410,111,1.85
2026-06-10 19:33:40,439,97,1.62
2026-06-10 19:33:40,179,38,0.63
2026-06-10 19:33:40,811,23,0.38
2026-06-10 19:33:40,49,219,3.65
2026-06-10 19:33:40,165,33,0.55
2026-06-10 19:33:40,16,23,0.38
2026-06-10 19:33:40,168,86,1.43
2026-06-10 19:33:40,108,47,0.78
2026-06-10 19:33:40,32,59,0.98
2026-06-10 19:33:40,125,25,0.42
2026-06-10 19:33:40,106,31,0.52
2026-06-10 19:33:40,202,24,0.4
2026-06-10 19:33:40,186,31,0.52
2026-06-10 19:33:40,103,36,0.6
2026-06-10 19:33:40,411,1140,19.0
2026-06-10 19:33:40,420,228,3.8
2026-06-10 19:33:40,141,90,1.5
2026-06-10 19:33:40,432,44,0.73
2026-06-10 19:33:40,448,19,0.32
2026-06-10 19:33:40,177,47,0.78
2026-06-10 19:33:40,211,102,1.7
2026-06-10 19:33:40,123,34,0.57
2026-06-10 19:33:40,48,29,0.48
2026-06-10 19:33:40,33,80,1.33
2026-06-10 19:33:40,125,93,1.55
